Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Cluster	Label	Score
1	Spectrogram 1	1	263.000000	263.500000	0	0	8	cluster_8	1.0000
2	Spectrogram 1	1	263.250000	263.750000	0	0	8	cluster_8	1.0000
3	Spectrogram 1	1	263.500000	264.000000	0	0	noise	cluster_noise	0.0000
4	Spectrogram 1	1	263.750000	264.250000	0	0	18	cluster_18	0.9988
5	Spectrogram 1	1	264.000000	264.500000	0	0	18	cluster_18	1.0000
6	Spectrogram 1	1	264.250000	264.750000	0	0	18	cluster_18	1.0000
7	Spectrogram 1	1	264.500000	265.000000	0	0	18	cluster_18	0.8381
8	Spectrogram 1	1	264.750000	265.250000	0	0	noise	cluster_noise	0.0000
9	Spectrogram 1	1	265.000000	265.500000	0	0	19	cluster_19	0.8133
10	Spectrogram 1	1	265.250000	265.750000	0	0	19	cluster_19	1.0000
11	Spectrogram 1	1	265.500000	266.000000	0	0	noise	cluster_noise	0.0000
12	Spectrogram 1	1	265.750000	266.250000	0	0	8	cluster_8	1.0000
13	Spectrogram 1	1	266.000000	266.500000	0	0	3	cluster_3	1.0000
14	Spectrogram 1	1	266.250000	266.750000	0	0	8	cluster_8	0.9859
15	Spectrogram 1	1	266.500000	267.000000	0	0	noise	cluster_noise	0.0000
16	Spectrogram 1	1	266.750000	267.250000	0	0	3	cluster_3	1.0000
17	Spectrogram 1	1	267.000000	267.500000	0	0	8	cluster_8	1.0000
18	Spectrogram 1	1	267.250000	267.750000	0	0	8	cluster_8	1.0000
19	Spectrogram 1	1	267.500000	268.000000	0	0	8	cluster_8	1.0000
20	Spectrogram 1	1	267.750000	268.250000	0	0	8	cluster_8	1.0000
21	Spectrogram 1	1	268.000000	268.500000	0	0	8	cluster_8	1.0000
22	Spectrogram 1	1	268.250000	268.750000	0	0	8	cluster_8	1.0000
23	Spectrogram 1	1	268.500000	269.000000	0	0	8	cluster_8	1.0000
24	Spectrogram 1	1	268.750000	269.250000	0	0	8	cluster_8	1.0000
25	Spectrogram 1	1	269.000000	269.500000	0	0	13	cluster_13	0.6642
26	Spectrogram 1	1	269.250000	269.750000	0	0	1	cluster_1	1.0000
